26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;7;D,S,Z,N,W,F,M;5;C,Y,P,R,E;6;V,E,G,X,J,O;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;5;G,K,Z,R,A;4;M,P,O,Q;4;A,E,L,X;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;4;S,K,F,A;7;V,K,M,U,B,Y,P;5;M,B,K,I,E;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;7;Y,V,W,M,S,L,U;7;N,I,K,R,C,O,S;6;H,U,P,J,W,T;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;4;D,Q,Z,T;4;L,P,D,K;5;M,X,E,S,N;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;7;L,U,D,E,S,F,W;5;H,T,O,K,W;7;R,X,F,G,Y,I,H;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;6;A,Y,U,J,T,R;5;M,T,Y,S,H;4;K,Z,T,W;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;4;Y,C,L,Q;5;U,X,A,Q,Z;5;L,H,X,P,W;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;7;C,Q,T,V,R,O,H;7;U,M,X,O,T,E,B;5;G,Y,B,I,L;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;5;P,S,T,I,H;5;W,Q,S,G,C;4;B,Q,O,F;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;5;O,E,W,R,H;7;I,P,G,K,J,O,T;6;H,S,L,R,U,J;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;6;G,S,C,D,Q,E;7;P,O,Y,E,C,Z,R;7;H,S,G,M,T,F,E;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;6;P,I,M,T,V,Y;7;H,P,Y,S,Q,V,K;6;R,E,A,N,U,T;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;7;A,G,K,D,M,H,Q;4;L,R,C,X;4;Y,A,C,M;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;5;B,S,Q,X,N;5;O,D,Y,Z,K;5;V,O,A,B,C;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;6;C,X,Z,H,P,I;4;O,X,Y,C;7;F,M,C,G,R,V,H;
26;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z;5;F,O,C,P,I;6;T,L,M,E,R,X;5;O,S,W,B,D;
